Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
-1.#IND00	 0.500000	 thread: 2
0.000020	 0.028670	 thread: 0
0.000040	 0.028690	 thread: 0
0.000060	 0.028690	 thread: 0
0.000080	 0.028709	 thread: 4
0.000100	 0.028728	 thread: 1
0.000100	 0.028728	 thread: 0
0.000140	 0.000160	 thread: 2
0.000160	 0.028748	 thread: 3
0.000180	 0.000200	 thread: 4
0.000200	 0.028787	 thread: 3
0.000220	 0.028806	 thread: 4
0.000260	 0.028826	 thread: 4
0.000260	 0.029020	 thread: 4
0.000280	 0.029039	 thread: 2
0.000300	 0.029059	 thread: 3
0.000320	 0.029059	 thread: 2
0.000340	 0.029078	 thread: 4
0.000360	 0.029098	 thread: 4
0.000380	 0.029137	 thread: 4
0.000400	 0.029156	 thread: 2
0.000420	 0.029117	 thread: 1
0.000440	 0.029117	 thread: 3
0.000460	 0.029137	 thread: 3
0.000480	 0.029234	 thread: 4
0.000500	 0.029137	 thread: 2
0.000520	 0.029272	 thread: 1
0.000540	 0.029292	 thread: 3
0.000540	 0.029253	 thread: 2
0.000580	 0.029156	 thread: 2
0.000600	 0.029350	 thread: 1
0.000620	 0.029311	 thread: 2
0.000640	 0.029389	 thread: 3
0.000660	 0.029331	 thread: 2
0.000680	 0.029350	 thread: 3
0.000700	 0.029370	 thread: 4
0.000720	 0.029350	 thread: 4
0.000740	 0.029350	 thread: 2
0.000760	 0.029428	 thread: 1
0.000760	 0.029370	 thread: 4
0.000800	 0.029389	 thread: 2
0.000820	 0.029447	 thread: 2
0.000840	 0.029486	 thread: 3
0.000860	 0.029505	 thread: 0
0.000880	 0.029408	 thread: 0
0.000900	 0.029467	 thread: 2
0.000920	 0.029525	 thread: 3
0.000940	 0.029544	 thread: 4
0.000960	 0.029564	 thread: 4
0.000980	 0.029583	 thread: 4
0.001000	 0.029602	 thread: 4
0.001020	 0.029602	 thread: 4
0.001040	 0.029622	 thread: 4
0.001060	 0.029602	 thread: 2
0.001080	 0.029622	 thread: 1
0.001100	 0.029641	 thread: 1
0.001120	 0.029661	 thread: 2
0.001140	 0.029680	 thread: 2
0.001160	 0.029680	 thread: 4
0.001180	 0.029699	 thread: 4
0.001200	 0.029699	 thread: 4
0.001220	 0.029738	 thread: 1
0.001240	 0.029758	 thread: 4
0.001260	 0.029777	 thread: 4
0.001280	 0.029777	 thread: 4
0.001300	 0.029758	 thread: 2
0.001320	 0.029797	 thread: 0
0.001340	 0.029816	 thread: 3
0.001360	 0.029816	 thread: 5
0.001380	 0.029855	 thread: 1
0.001400	 0.029874	 thread: 4
0.001420	 0.029894	 thread: 4
0.001440	 0.029913	 thread: 4
0.001460	 0.029932	 thread: 4
0.001480	 0.029952	 thread: 4
0.001500	 0.029971	 thread: 4
0.001520	 0.029991	 thread: 2
0.001540	 0.030010	 thread: 2
0.001560	 0.030029	 thread: 2
0.001580	 0.029952	 thread: 0
0.001600	 0.030049	 thread: 1
0.001620	 0.030088	 thread: 5
0.001640	 0.030107	 thread: 4
0.001660	 0.030126	 thread: 2
0.001680	 0.030146	 thread: 2
0.001700	 0.030146	 thread: 2
0.001720	 0.030165	 thread: 0
0.001740	 0.030185	 thread: 0
0.001760	 0.030223	 thread: 0
0.001780	 0.030243	 thread: 2
0.001800	 0.030262	 thread: 2
0.001820	 0.030282	 thread: 2
0.001840	 0.030223	 thread: 2
0.001860	 0.030320	 thread: 1
0.001880	 0.030340	 thread: 3
0.001900	 0.030359	 thread: 2
0.001920	 0.030378	 thread: 2
0.001940	 0.030398	 thread: 2
0.001960	 0.030417	 thread: 2
0.001980	 0.030437	 thread: 2
0.002020	 0.030456	 thread: 2
0.002020	 0.030417	 thread: 2
0.002040	 0.030495	 thread: 3
0.002040	 0.030514	 thread: 2
0.002060	 0.030534	 thread: 2
0.002100	 0.030553	 thread: 2
0.002120	 0.030514	 thread: 2
0.002140	 0.030534	 thread: 1
0.002160	 0.030611	 thread: 2
0.002180	 0.030631	 thread: 2
0.002200	 0.030650	 thread: 2
0.002220	 0.030669	 thread: 2
0.002240	 0.030689	 thread: 2
0.002320	 0.030708	 thread: 2
0.002280	 0.030708	 thread: 2
0.002300	 0.030727	 thread: 4
0.002320	 0.030747	 thread: 4
0.002340	 0.030766	 thread: 4
0.002360	 0.030747	 thread: 4
