Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.002640	 -1.#IND00 	 numero de thread:4
0.002660	 -1.#IND00 	 numero de thread:4
0.002680	 -1.#IND00 	 numero de thread:4
0.002700	 -1.#IND00 	 numero de thread:4
0.002720	 -1.#IND00 	 numero de thread:4
0.002740	 -1.#IND00 	 numero de thread:4
0.002760	 -1.#IND00 	 numero de thread:4
0.002780	 -1.#IND00 	 numero de thread:4
0.002800	 -1.#IND00 	 numero de thread:4
0.002820	 -1.#IND00 	 numero de thread:4
0.002840	 -1.#IND00 	 numero de thread:4
0.002860	 -1.#IND00 	 numero de thread:4
0.002880	 -1.#IND00 	 numero de thread:4
0.002900	 -1.#IND00 	 numero de thread:4
0.002920	 -1.#IND00 	 numero de thread:4
0.002940	 -1.#IND00 	 numero de thread:4
0.002960	 -1.#IND00 	 numero de thread:4
0.002980	 -1.#IND00 	 numero de thread:4
0.003000	 -1.#IND00 	 numero de thread:4
0.003020	 -1.#IND00 	 numero de thread:4
0.003040	 -1.#IND00 	 numero de thread:4
0.003060	 -1.#IND00 	 numero de thread:4
0.003080	 -1.#IND00 	 numero de thread:4
0.003100	 -1.#IND00 	 numero de thread:4
0.003120	 -1.#IND00 	 numero de thread:4
0.003140	 -1.#IND00 	 numero de thread:4
0.003160	 -1.#IND00 	 numero de thread:4
0.003180	 -1.#IND00 	 numero de thread:4
0.003200	 -1.#IND00 	 numero de thread:4
0.003220	 -1.#IND00 	 numero de thread:4
0.003240	 -1.#IND00 	 numero de thread:4
0.003260	 -1.#IND00 	 numero de thread:4
0.003280	 -1.#IND00 	 numero de thread:4
0.003300	 -1.#IND00 	 numero de thread:4
0.003320	 -1.#IND00 	 numero de thread:4
0.003340	 -1.#IND00 	 numero de thread:4
0.003360	 -1.#IND00 	 numero de thread:4
0.003380	 -1.#IND00 	 numero de thread:4
0.003400	 -1.#IND00 	 numero de thread:4
0.003420	 -1.#IND00 	 numero de thread:4
0.003440	 -1.#IND00 	 numero de thread:4
0.003460	 -1.#IND00 	 numero de thread:4
0.003480	 -1.#IND00 	 numero de thread:4
0.003500	 -1.#IND00 	 numero de thread:4
0.003520	 -1.#IND00 	 numero de thread:4
0.003540	 -1.#IND00 	 numero de thread:4
0.003560	 -1.#IND00 	 numero de thread:4
0.003580	 -1.#IND00 	 numero de thread:4
0.003600	 -1.#IND00 	 numero de thread:4
0.003620	 -1.#IND00 	 numero de thread:4
0.003640	 -1.#IND00 	 numero de thread:4
0.003660	 -1.#IND00 	 numero de thread:4
0.003680	 -1.#IND00 	 numero de thread:4
0.003700	 -1.#IND00 	 numero de thread:4
0.003720	 -1.#IND00 	 numero de thread:4
0.003740	 -1.#IND00 	 numero de thread:4
0.003760	 -1.#IND00 	 numero de thread:4
0.003780	 -1.#IND00 	 numero de thread:4
0.003800	 -1.#IND00 	 numero de thread:4
0.003820	 -1.#IND00 	 numero de thread:4
0.003840	 -1.#IND00 	 numero de thread:4
0.003860	 -1.#IND00 	 numero de thread:4
0.003880	 -1.#IND00 	 numero de thread:4
0.003900	 -1.#IND00 	 numero de thread:4
0.003920	 -1.#IND00 	 numero de thread:4
0.003940	 -1.#IND00 	 numero de thread:4
0.003960	 -1.#IND00 	 numero de thread:4
0.003980	 -1.#IND00 	 numero de thread:4
0.004000	 -1.#IND00 	 numero de thread:4
0.004020	 -1.#IND00 	 numero de thread:4
0.004040	 -1.#IND00 	 numero de thread:4
0.004060	 -1.#IND00 	 numero de thread:4
0.004080	 -1.#IND00 	 numero de thread:4
0.004100	 -1.#IND00 	 numero de thread:4
0.004120	 -1.#IND00 	 numero de thread:4
0.004140	 -1.#IND00 	 numero de thread:4
0.004160	 -1.#IND00 	 numero de thread:4
0.004180	 -1.#IND00 	 numero de thread:4
0.004200	 -1.#IND00 	 numero de thread:4
0.004220	 -1.#IND00 	 numero de thread:4
0.004240	 -1.#IND00 	 numero de thread:4
0.004260	 -1.#IND00 	 numero de thread:4
0.004280	 -1.#IND00 	 numero de thread:4
0.004300	 -1.#IND00 	 numero de thread:4
0.004320	 -1.#IND00 	 numero de thread:4
0.004340	 -1.#IND00 	 numero de thread:4
0.004360	 -1.#IND00 	 numero de thread:4
0.004380	 -1.#IND00 	 numero de thread:4
0.004400	 -1.#IND00 	 numero de thread:4
0.004420	 -1.#IND00 	 numero de thread:4
0.004440	 -1.#IND00 	 numero de thread:4
0.004460	 -1.#IND00 	 numero de thread:4
0.004480	 -1.#IND00 	 numero de thread:4
0.004500	 -1.#IND00 	 numero de thread:4
0.004520	 -1.#IND00 	 numero de thread:4
0.004540	 -1.#IND00 	 numero de thread:4
0.004560	 -1.#IND00 	 numero de thread:4
0.004580	 -1.#IND00 	 numero de thread:4
0.004600	 -1.#IND00 	 numero de thread:4
0.004620	 -1.#IND00 	 numero de thread:4
0.004640	 -1.#IND00 	 numero de thread:4
0.004660	 -1.#IND00 	 numero de thread:4
0.004680	 -1.#IND00 	 numero de thread:4
0.004700	 -1.#IND00 	 numero de thread:4
0.004720	 -1.#IND00 	 numero de thread:4
0.004740	 -1.#IND00 	 numero de thread:4
0.004760	 -1.#IND00 	 numero de thread:4
0.004780	 -1.#IND00 	 numero de thread:4
0.004800	 -1.#IND00 	 numero de thread:4
0.004820	 -1.#IND00 	 numero de thread:4
0.004840	 -1.#IND00 	 numero de thread:4
0.004860	 -1.#IND00 	 numero de thread:4
0.004880	 -1.#IND00 	 numero de thread:4
0.004900	 -1.#IND00 	 numero de thread:4
0.004920	 -1.#IND00 	 numero de thread:4
0.004940	 -1.#IND00 	 numero de thread:4
0.004960	 -1.#IND00 	 numero de thread:4
0.004980	 -1.#IND00 	 numero de thread:4
0.005000	 -1.#IND00 	 numero de thread:4
0.005020	 -1.#IND00 	 numero de thread:4
0.005040	 -1.#IND00 	 numero de thread:4
0.005060	 -1.#IND00 	 numero de thread:4
0.005080	 -1.#IND00 	 numero de thread:4
0.005100	 -1.#IND00 	 numero de thread:4
0.005120	 -1.#IND00 	 numero de thread:4
0.005140	 -1.#IND00 	 numero de thread:4
0.005160	 -1.#IND00 	 numero de thread:4
0.005180	 -1.#IND00 	 numero de thread:4
0.005200	 -1.#IND00 	 numero de thread:4
0.005220	 -1.#IND00 	 numero de thread:4
0.005240	 -1.#IND00 	 numero de thread:4
0.005260	 -1.#IND00 	 numero de thread:4
0.005280	 -1.#IND00 	 numero de thread:4
0.005300	 -1.#IND00 	 numero de thread:4
0.005320	 -1.#IND00 	 numero de thread:4
0.005340	 -1.#IND00 	 numero de thread:4
0.005360	 -1.#IND00 	 numero de thread:4
0.005380	 -1.#IND00 	 numero de thread:4
0.005400	 -1.#IND00 	 numero de thread:4
0.005420	 -1.#IND00 	 numero de thread:4
0.005440	 -1.#IND00 	 numero de thread:4
0.005460	 -1.#IND00 	 numero de thread:4
0.005480	 -1.#IND00 	 numero de thread:4
0.005500	 -1.#IND00 	 numero de thread:4
0.005520	 -1.#IND00 	 numero de thread:4
0.005540	 -1.#IND00 	 numero de thread:4
0.005560	 -1.#IND00 	 numero de thread:4
0.005580	 -1.#IND00 	 numero de thread:4
0.005600	 -1.#IND00 	 numero de thread:4
0.005620	 -1.#IND00 	 numero de thread:4
0.005640	 -1.#IND00 	 numero de thread:4
0.005660	 -1.#IND00 	 numero de thread:4
0.005680	 -1.#IND00 	 numero de thread:4
0.005700	 -1.#IND00 	 numero de thread:4
0.005720	 -1.#IND00 	 numero de thread:4
0.005740	 -1.#IND00 	 numero de thread:4
0.005760	 -1.#IND00 	 numero de thread:4
0.005780	 -1.#IND00 	 numero de thread:4
0.005800	 -1.#IND00 	 numero de thread:4
0.005820	 -1.#IND00 	 numero de thread:4
0.005840	 -1.#IND00 	 numero de thread:4
